Tiempo (s),Monitoreo_X_CH1 (V),Scattering_CH2 (V)
0.05036807060241699,0.05396,0.014022
0.10057783126831055,0.053867,0.013947
0.14936375617980957,0.053947,0.014016
0.1989600658416748,0.053827,0.014001
0.2554047107696533,0.05408,0.014169
0.30121588706970215,0.05376,0.014079
0.3529365062713623,0.053867,0.014036
0.4040517807006836,0.054133,0.014068
0.45456719398498535,0.054253,0.01417
0.5061123371124268,0.053853,0.01405
0.5549559593200684,0.054053,0.014071
0.6050403118133545,0.053933,0.014103
0.6560654640197754,0.053867,0.014123
0.7076218128204346,0.053987,0.014082
0.7589704990386963,0.05388,0.013981
0.8085281848907471,0.054067,0.01406
0.8597753047943115,0.053907,0.014032
0.9085988998413086,0.053933,0.014132
0.9605252742767334,0.05396,0.014038
1.005202054977417,0.053907,0.014026
1.059183120727539,0.053907,0.014094
1.1056342124938965,0.053827,0.01413
1.1580638885498047,0.053853,0.014117
1.2099592685699463,0.053773,0.014119
1.2581555843353271,0.053907,0.014063
1.3110661506652832,0.054053,0.014104
1.365812063217163,0.053813,0.014171
1.4160606861114502,0.05388,0.014121
1.4658873081207275,0.053933,0.014107
1.5137407779693604,0.05372,0.014049
1.5607380867004395,0.053707,0.013844
1.6160972118377686,0.05392,0.014085
1.6687102317810059,0.05384,0.014022
1.7183380126953125,0.05372,0.014046
1.7656810283660889,0.054027,0.014004
1.8168048858642578,0.053813,0.014186
1.8674333095550537,0.05392,0.013994
1.9191102981567383,0.053987,0.01415
1.968393325805664,0.053907,0.014101
2.017338752746582,0.05408,0.014122
2.073857069015503,0.05392,0.013991
2.1222565174102783,0.05392,0.013828
2.1726605892181396,0.053933,0.014027
2.2261130809783936,0.05384,0.014066
2.2733049392700195,0.053733,0.013999
2.325864791870117,0.053907,0.014036
2.3737072944641113,0.053747,0.013941
2.4257924556732178,0.05404,0.014146
2.4743845462799072,0.05404,0.014053
2.524385929107666,0.05396,0.014086
2.5784752368927,0.053867,0.014094
2.6245973110198975,0.053933,0.01411
2.6772491931915283,0.053893,0.014131
2.727069616317749,0.05404,0.01417
2.779024839401245,0.05368,0.0139
2.827749729156494,0.05392,0.014079
2.878072738647461,0.05396,0.014058
2.9295475482940674,0.053973,0.013959
2.978522777557373,0.053973,0.01405
3.031224012374878,0.053907,0.014059
3.080933094024658,0.054093,0.014092
3.1325109004974365,0.05676,0.014127
3.183746337890625,0.05976,0.014098
3.2360055446624756,0.059893,0.014263
3.2855474948883057,0.06244,0.014197
3.334044933319092,0.068133,0.014149
3.384936571121216,0.07088,0.014064
3.4326834678649902,0.073667,0.014097
3.4860477447509766,0.076613,0.014216
3.536630868911743,0.07656,0.014265
3.587883472442627,0.079467,0.014233
3.637582778930664,0.084747,0.014247
3.6889078617095947,0.087467,0.014293
3.7397751808166504,0.087427,0.014329
3.7902562618255615,0.092653,0.014419
3.839351177215576,0.092533,0.014351
3.88883376121521,0.093947,0.014441
3.939762592315674,0.09664,0.014557
3.9926068782806396,0.097907,0.014486
4.0392749309539795,0.099307,0.014525
4.091908693313599,0.10041,0.014598
