Tiempo (s),Voltaje CH1 (V)
-0.05,-902.1845365981817
-0.0499,-902.1845278159178
-0.049800000000000004,-902.1845374959662
-0.0497,-902.1845315803832
-0.049600000000000005,-902.1845274159158
-0.0495,-902.1845360337389
-0.0494,-902.1845305537115
-0.049300000000000004,-902.1845366870755
-0.0492,-902.1845366470753
-0.049100000000000005,-902.1845280025854
-0.049,-902.1845377804123
-0.048900000000000006,-902.1845313670489
-0.0488,-902.1845271581345
-0.0487,-902.1845360692924
-0.048600000000000004,-902.1845308203795
-0.0485,-902.1845365581815
-0.048400000000000006,-902.1845368648497
-0.0483,-902.1845282381399
-0.0482,-902.1845375137462
-0.048100000000000004,-902.1845316114901
-0.048,-902.1845274692494
-0.047900000000000005,-902.1845356426236
-0.0478,-902.1845357804043
-0.047700000000000006,-902.1845306292652
-0.0476,-902.1845367359624
-0.0475,-902.1845282159198
-0.047400000000000005,-902.1845374959662
-0.0473,-902.1845315981567
-0.047200000000000006,-902.18453227372
-0.0471,-902.1845273581355
-0.047,-902.1845360204055
-0.046900000000000004,-902.1845305981517
-0.0468,-902.1845368515163
-0.046700000000000005,-902.1845282381399
-0.0466,-902.1845374870795
-0.0465,-902.1845316470503
-0.046400000000000004,-902.1845321937196
-0.0463,-902.1845274159158
-0.046200000000000005,-902.1845277848043
-0.0461,-902.1845357270707
-0.046,-902.1845366915155
-0.0459,-902.1845283937007
-0.0458,-902.184528171473
-0.045700000000000005,-902.1845374426326
-0.0456,-902.1845322692734
-0.0455,-902.1845276870305
-0.0454,-902.1845278248045
-0.0453,-902.1845359759586
-0.045200000000000004,-902.1845367315157
-0.0451,-902.1845304159308
-0.045000000000000005,-902.1845279136983
-0.0449,-902.1845376204114
-0.0448,-902.184535171508
-0.044700000000000004,-902.1845276870305
-0.0446,-902.1845275848033
-0.044500000000000005,-902.1845361804063
-0.0444,-902.1845306425986
-0.044300000000000006,-902.1845367315157
-0.0442,-902.1845281270326
-0.0441,-902.1845377315227
-0.044000000000000004,-902.1845352115081
-0.0439,-902.1845314914896
-0.043800000000000006,-902.1845272959152
-0.0437,-902.1845363804073
-0.0436,-902.1845307581525
-0.043500000000000004,-902.1845366248485
-0.0434,-902.1845281359194
-0.043300000000000005,-902.1845374159658
-0.0432,-902.1845374515193
-0.0431,-902.1845316337169
-0.043000000000000003,-902.1845275492498
-0.0429,-902.1845363404071
-0.042800000000000005,-902.1845307537125
-0.0427,-902.1845369537435
-0.0426,-902.1845366604086
-0.0425,-902.18452825592
-0.0424,-902.1845375092996
-0.042300000000000004,-902.1845315714899
-0.0422,-902.1845273092486
-0.0421,-902.1845361581795
-0.042,-902.1845307314857
-0.04190000000000001,-902.1845367092956
-0.041800000000000004,-902.1845366737421
-0.0417,-902.1845282425866
-0.0416,-902.1845377981897
-0.0415,-902.1845313492688
-0.041400000000000006,-902.184527273695
-0.0413,-902.1845360737391
-0.0412,-902.1845304114842
