Tiempo (s),Voltaje (V)
-0.0499,-902.1845225981117
-0.0498,-902.1845236692304
-0.0497,-902.1845237536775
-0.0496,-902.1845227936727
-0.0495,-902.1845335492798
-0.0494,-902.1845464693444
-0.0493,-902.1845453004499
-0.0492,-902.1845217447741
-0.0491,-902.1845222114431
-0.049,-902.1845235670099
-0.0489,-902.1845229492268
-0.0488,-902.1845236736771
-0.0487,-902.1845232470083
-0.0486,-902.184546540456
-0.0485,-902.184545256005
-0.0484,-902.1845218336679
-0.0483,-902.1845222158898
-0.0482,-902.1845234870095
-0.0481,-902.1845229403334
-0.048,-902.184523807011
-0.0479,-902.1845230736741
-0.0478,-902.1845465715669
-0.0477,-902.1845455048949
-0.0476,-902.1845220069954
-0.0475,-902.1845217981078
-0.0474,-902.1845235803432
-0.0473,-902.1845229714469
-0.0472,-902.184523722564
-0.0471,-902.1845231625612
-0.047,-902.1845465537895
-0.0469,-902.1845454248945
-0.0468,-902.1845446337796
-0.0467,-902.1845449004476
-0.0466,-902.1845219314417
-0.0465,-902.1845228692264
-0.0464,-902.1845236781171
-0.0463,-902.1845229581135
-0.0462,-902.1845464204555
-0.0461,-902.1845456648957
-0.046,-902.1845446515575
-0.045899999999999996,-902.1845452382269
-0.0458,-902.1845217270007
-0.0457,-902.1845229981137
-0.0456,-902.1845237625643
-0.0455,-902.1845231758946
-0.045399999999999996,-902.1845463760106
-0.0453,-902.1845456648957
-0.0452,-902.1845445804461
-0.0451,-902.1845451404491
-0.045,-902.1845219492218
-0.0449,-902.18452292256
-0.0448,-902.1845236158968
-0.0447,-902.1845230470072
-0.0446,-902.1845464071221
-0.0445,-902.1845455582285
-0.0444,-902.1845446471131
-0.0443,-902.1845452204495
-0.0442,-902.1845217136673
-0.0441,-902.1845226070051
-0.044,-902.1845236070101
-0.0439,-902.18452292256
-0.0438,-902.1845465048999
-0.0437,-902.1845458915635
-0.0436,-902.1845445715571
-0.0435,-902.1845452115601
-0.0434,-902.1845217270007
-0.0433,-902.1845227670059
-0.0432,-902.1845237536775
-0.0431,-902.1845230425606
-0.043,-902.1845465048999
-0.0429,-902.1845458204525
-0.0428,-902.1845446026684
-0.0427,-902.1845452293383
-0.0426,-902.1845217981078
-0.042499999999999996,-902.1845226070051
-0.0424,-902.1845236736771
-0.0423,-902.1845229314467
-0.0422,-902.1845463760106
-0.0421,-902.1845461404541
-0.041999999999999996,-902.1845447315579
-0.0419,-902.1845453404501
-0.041800000000000004,-902.1845218869948
-0.0417,-902.1845225003378
-0.0416,-902.1845235314497
-0.041499999999999995,-902.1845230158938
-0.0414,-902.1845237492308
-0.0413,-902.1845414204305
-0.0412,-902.1845467982347
-0.0411,-902.1845453360054
-0.041,-902.1845218825548
-0.0409,-902.1845224336708
-0.0408,-902.1845235803432
-0.0407,-902.1845237136773
-0.0406,-902.1845230870075
-0.0405,-902.1845230336739
-0.0404,-902.1845463848994
-0.0403,-902.1845453271167
-0.0402,-902.1845217625543
-0.0401,-902.1845222958902
-0.04,-902.184523455896
-0.0399,-902.1845229981137
-0.0398,-902.1845237625643
-0.0397,-902.1845230647807
-0.039599999999999996,-902.184546540456
-0.0395,-902.1845454026724
-0.0394,-902.1845216647737
-0.0393,-902.1845218781081
-0.0392,-902.1845236425636
-0.039099999999999996,-902.1845228736731
-0.039,-902.1845237758976
-0.0389,-902.1845229581135
-0.0388,-902.1845465004559
-0.0387,-902.1845453982277
-0.038599999999999995,-902.1845446071129
-0.0385,-902.184545122671
-0.038400000000000004,-902.1845217536675
-0.0383,-902.1845228958932
-0.0382,-902.1845236870105
-0.0381,-902.1845230958942
-0.038,-902.184546389344
-0.0379,-902.1845453804503
-0.0378,-902.1845446115573
-0.0377,-902.1845452426716
-0.0376,-902.1845217536675
-0.0375,-902.1845229403334
-0.0374,-902.1845236114501
-0.0373,-902.1845230514473
-0.0372,-902.184546389344
-0.0371,-902.1845455715619
-0.037,-902.1845445715571
-0.0369,-902.1845451671159
-0.0368,-902.1845218958882
-0.036699999999999997,-902.1845228292262
-0.0366,-902.1845236692304
-0.0365,-902.1845230425606
-0.0364,-902.1845464426776
-0.0363,-902.1845456515623
-0.036199999999999996,-902.1845446160017
-0.0361,-902.1845451537824
-0.036,-902.1845218203345
-0.0359,-902.1845227581125
-0.0358,-902.1845236425636
-0.035699999999999996,-902.1845230203405
-0.0356,-902.1845466293452
-0.0355,-902.1845457937857
-0.0354,-902.18454471378
-0.0353,-902.1845452160048
-0.035199999999999995,-902.1845217358874
-0.0351,-902.1845226292252
-0.035,-902.1845236603436
-0.0349,-902.1845230647807
-0.0348,-902.1845464337889
-0.0347,-902.1845459004529
-0.0346,-902.1845447848916
-0.0345,-902.1845452293383
-0.0344,-902.1845218292212
-0.0343,-902.1845226958922
-0.034199999999999994,-902.1845236470036
-0.0341,-902.1845229803403
-0.034,-902.1845468249015
