Tiempo (s),Monitoreo_X_CH1 (V),Scattering_CH2 (V)
0.05109214782714844,0.052373,0.012961
0.09972310066223145,0.052373,0.012959
0.15037941932678223,0.05232,0.012959
0.20059728622436523,0.05216,0.013061
0.2504129409790039,0.052453,0.012982
0.30452799797058105,0.05248,0.012977
0.35548853874206543,0.052267,0.012951
0.40534448623657227,0.052213,0.013035
0.4538695812225342,0.052213,0.013089
0.5049147605895996,0.052213,0.013039
0.5556991100311279,0.052453,0.012989
0.6037478446960449,0.052507,0.013046
0.6599586009979248,0.052213,0.013059
0.7077434062957764,0.052507,0.013049
0.7648849487304688,0.05232,0.013099
0.8134455680847168,0.052373,0.013062
0.8613862991333008,0.052213,0.013023
0.9131574630737305,0.052293,0.013062
0.9638659954071045,0.052373,0.013035
1.0158324241638184,0.05232,0.013048
1.0653929710388184,0.0524,0.013015
1.1178312301635742,0.052293,0.013068
1.16642165184021,0.05248,0.01305
1.2173020839691162,0.05232,0.013065
1.2695176601409912,0.052427,0.013023
1.3180501461029053,0.052347,0.013014
1.3668370246887207,0.052213,0.013098
1.4146370887756348,0.0524,0.013043
1.4718639850616455,0.0524,0.013041
1.5210294723510742,0.052267,0.013063
1.5688433647155762,0.052453,0.013025
1.6199350357055664,0.05224,0.01297
1.6696586608886719,0.052613,0.013059
1.7259130477905273,0.05248,0.013145
1.7753920555114746,0.0524,0.013114
1.8236923217773438,0.05224,0.013074
1.8773448467254639,0.052453,0.013019
1.9248452186584473,0.052507,0.01311
1.9798662662506104,0.0524,0.013044
2.030599594116211,0.05232,0.013056
2.0821170806884766,0.052533,0.013096
2.130133867263794,0.052507,0.013125
2.1836955547332764,0.052373,0.013062
2.234436511993408,0.052533,0.013071
2.282435655593872,0.052373,0.013091
2.3308796882629395,0.052347,0.013044
2.3814759254455566,0.0524,0.013022
2.434645414352417,0.052453,0.013022
2.483602523803711,0.055493,0.012961
2.5357108116149902,0.058267,0.012975
2.5828115940093994,0.06368,0.012938
2.6350257396698,0.066587,0.013
2.6862545013427734,0.0668,0.012999
2.7378883361816406,0.07224,0.01315
2.787344455718994,0.075147,0.01317
2.839784860610962,0.075227,0.013227
2.8869943618774414,0.077733,0.013321
2.9418630599975586,0.080373,0.013482
2.98881196975708,0.083387,0.013434
3.0414724349975586,0.088613,0.013483
3.093905448913574,0.091333,0.013519
3.142252206802368,0.09288,0.013363
3.19408917427063,0.094213,0.01347
3.243069887161255,0.094507,0.013565
3.2927591800689697,0.0956,0.013549
3.3435611724853516,0.09696,0.013686
3.3976950645446777,0.098213,0.013521
3.444887638092041,0.10072,0.013581
3.49814510345459,0.10203,0.013516
3.5490283966064453,0.10325,0.013552
3.599210262298584,0.10323,0.013574
3.645582914352417,0.10445,0.013603
3.6974000930786133,0.10597,0.013568
3.7490603923797607,0.10712,0.013733
3.7994465827941895,0.10837,0.013695
3.8541622161865234,0.11077,0.013769
3.9026846885681152,0.11205,0.013811
3.9568636417388916,0.11227,0.013768
4.004265308380127,0.11341,0.013891
4.055861711502075,0.11459,0.013904
4.106701135635376,0.11699,0.013873
4.154432535171509,0.11821,0.013873
4.210435152053833,0.11851,0.013897
4.260899543762207,0.11949,0.013898
4.310706615447998,0.12061,0.013835
4.358758926391602,0.12176,0.013882
4.411830425262451,0.12285,0.013903
4.460935115814209,0.12392,0.013935
4.509079456329346,0.12653,0.013755
4.55938458442688,0.12653,0.013718
4.609959602355957,0.12792,0.013616
4.664050579071045,0.12891,0.013235
4.713810920715332,0.13016,0.013155
4.759446859359741,0.13128,0.013152
4.811528444290161,0.13224,0.01305
4.862843036651611,0.13232,0.013038
