Tiempo (s),Monitoreo_X_CH1 (V),Scattering_CH2 (V)
0.045102596282958984,0.049773,0.012749
0.09905076026916504,0.05,0.012678
0.14723420143127441,0.049947,0.012645
0.1971900463104248,0.050053,0.012719
0.25076842308044434,0.05008,0.012744
0.3046143054962158,0.04992,0.012722
0.3522484302520752,0.050093,0.012751
0.40270352363586426,0.049867,0.012654
0.4542860984802246,0.049853,0.012697
0.5062484741210938,0.049853,0.012677
0.554816484451294,0.049907,0.01273
0.6002187728881836,0.0498,0.012686
0.651573657989502,0.04988,0.012729
0.703960657119751,0.050107,0.012803
0.7533771991729736,0.049987,0.012734
0.8055410385131836,0.050147,0.012711
0.860238790512085,0.04992,0.012686
0.9085173606872559,0.049827,0.012704
0.9633133411407471,0.049867,0.012704
1.0115857124328613,0.05,0.012716
1.0601763725280762,0.049907,0.012757
1.1117844581604004,0.049827,0.012757
1.1639604568481445,0.04992,0.012757
1.2123658657073975,0.0498,0.012684
1.2632977962493896,0.049893,0.012795
1.3111159801483154,0.049867,0.012687
1.3652305603027344,0.04996,0.012714
1.4162003993988037,0.049747,0.012712
1.4687683582305908,0.050107,0.012705
1.5184733867645264,0.04992,0.012714
1.5700674057006836,0.050133,0.012747
1.6151485443115234,0.050067,0.012607
1.6679787635803223,0.050133,0.012757
1.7178914546966553,0.05016,0.012671
1.7709646224975586,0.050107,0.012629
1.8208351135253906,0.050227,0.012831
1.8664143085479736,0.049893,0.012792
1.9206922054290771,0.05,0.01269
1.9702911376953125,0.049987,0.012743
2.0236432552337646,0.049893,0.012683
2.0696916580200195,0.04996,0.01268
2.1205999851226807,0.049973,0.012682
2.1712069511413574,0.049947,0.012661
2.2230241298675537,0.049987,0.012659
2.274609088897705,0.049907,0.012751
2.3245813846588135,0.05004,0.012747
2.374035596847534,0.04984,0.012687
2.425528049468994,0.04992,0.012689
2.4755258560180664,0.049853,0.012636
2.5243875980377197,0.049947,0.012678
2.577915668487549,0.04992,0.01274
2.6273038387298584,0.049907,0.012717
2.676331043243408,0.050067,0.012702
2.7293639183044434,0.049747,0.012705
2.7775120735168457,0.05,0.012791
2.827881097793579,0.049973,0.012694
2.879429340362549,0.049973,0.012758
2.9309656620025635,0.049947,0.012764
2.981558084487915,0.049867,0.012748
3.0268657207489014,0.049773,0.012673
3.0779330730438232,0.050013,0.012698
3.1338958740234375,0.052827,0.01271
3.1827120780944824,0.055707,0.012622
3.2332406044006348,0.055933,0.01267
3.281000852584839,0.058453,0.012702
3.3339245319366455,0.0614,0.012685
3.382902145385742,0.064373,0.012654
3.4328935146331787,0.067133,0.012721
3.485971689224243,0.069893,0.012645
3.5347900390625,0.075293,0.012595
3.584535598754883,0.075533,0.012614
3.6371700763702393,0.08104,0.012679
3.6859381198883057,0.081253,0.012697
3.7366819381713867,0.0838,0.012642
3.787947654724121,0.089053,0.012627
3.837123394012451,0.090493,0.01263
