Tiempo (s),Monitoreo_X_CH1 (V),Scattering_CH2 (V)
0.04699063301086426,0.0912,0.010586
0.14827489852905273,0.0916,0.010636
0.24784350395202637,0.093067,0.010577
0.35013580322265625,0.0948,0.010633
0.4511556625366211,0.096867,0.010569
0.5545942783355713,0.097133,0.010609
0.649893045425415,0.097867,0.01055
0.7603592872619629,0.10007,0.01055
0.8733608722686768,0.10247,0.010591
0.9689266681671143,0.10233,0.010625
1.0804519653320312,0.10607,0.010614
1.1839098930358887,0.1058,0.0106
1.2907607555389404,0.10827,0.010621
1.393155574798584,0.10927,0.010582
1.5013673305511475,0.11047,0.010585
1.6056036949157715,0.11253,0.010586
1.7049980163574219,0.11367,0.010527
1.8049776554107666,0.1144,0.010577
1.9024574756622314,0.11633,0.010637
2.0014824867248535,0.11733,0.010601
2.110322952270508,0.11947,0.010553
2.2217981815338135,0.1202,0.010571
2.329084873199463,0.12127,0.010569
2.4370641708374023,0.1222,0.010665
2.540337562561035,0.1238,0.010584
2.6442036628723145,0.12533,0.010599
2.7510366439819336,0.12647,0.01055
2.863494634628296,0.1276,0.010651
2.9684691429138184,0.13053,0.010576
3.082725763320923,0.1304,0.01054
3.1882336139678955,0.13327,0.010593
3.3014583587646484,0.13333,0.010571
3.398894786834717,0.13467,0.010576
3.5006632804870605,0.1366,0.010625
3.604504346847534,0.13833,0.010611
3.711754560470581,0.13933,0.010604
3.8204920291900635,0.1408,0.010569
3.9172327518463135,0.1408,0.01061
4.028946161270142,0.14313,0.010589
4.130518198013306,0.14393,0.010653
4.240173101425171,0.14527,0.010576
4.3457231521606445,0.1464,0.010578
4.450227499008179,0.14813,0.010619
4.550229787826538,0.1484,0.010534
4.6620917320251465,0.15007,0.010563
4.758094787597656,0.15153,0.010521
4.870665073394775,0.1522,0.010546
4.983932256698608,0.15427,0.010638
5.087106227874756,0.15487,0.010563
5.190845966339111,0.15593,0.010584
5.300940036773682,0.1572,0.010563
5.412636995315552,0.1608,0.010586
5.520479440689087,0.161,0.010555
5.617505788803101,0.162,0.010546
5.731033086776733,0.16347,0.010553
5.84108304977417,0.16353,0.01059
5.942718267440796,0.166,0.010533
6.051575183868408,0.16673,0.010649
6.1602418422698975,0.16833,0.010711
6.27205753326416,0.1692,0.010638
6.3803627490997314,0.1702,0.010614
6.4911181926727295,0.17147,0.010744
6.600689888000488,0.17273,0.010779
6.711247205734253,0.174,0.010873
6.824744939804077,0.17547,0.01099
6.931269407272339,0.17613,0.011036
7.029681921005249,0.17713,0.011152
7.129772663116455,0.17927,0.011095
7.2388434410095215,0.18033,0.011605
7.355372905731201,0.1804,0.01171
7.462252378463745,0.1834,0.011644
7.568933486938477,0.18413,0.011791
7.677073240280151,0.18547,0.011853
7.7897419929504395,0.187,0.012057
7.899045467376709,0.188,0.01208
7.996597528457642,0.18927,0.012209
